Attendance Area,School,Count
Wedgwood,Sacajawea,1
B.F. Day,B.F. Day,348
B.F. Day,John Stanford Intl,68
B.F. Day,Cascadia,25
B.F. Day,McDonald Intl,19
B.F. Day,Queen Anne,10
B.F. Day,Salmon Bay K-8,6
B.F. Day,TOPS K-8,4
B.F. Day,West Woodland,4
B.F. Day,Whittier,4
B.F. Day,Daniel Bagley,3
B.F. Day,Licton Springs K-8,3
B.F. Day,Adams,2
B.F. Day,Cascade Parent Partnership,2
B.F. Day,Loyal Heights,2
B.F. Day,Bailey Gatzert,1
B.F. Day,Broadview-Thomson K-8,1
B.F. Day,Cedar Park,1
B.F. Day,Hazel Wolf K-8,1
B.F. Day,Non Public Agencies,1
B.F. Day,Olympic View,1
B.F. Day,Thornton Creek,1
B.F. Day,Viewlands,1
West Woodland,West Woodland,380
West Woodland,Cascadia,36
West Woodland,Salmon Bay K-8,32
West Woodland,McDonald Intl,11
West Woodland,Cascade Parent Partnership,8
West Woodland,John Stanford Intl,7
West Woodland,Daniel Bagley,6
West Woodland,Loyal Heights,4
West Woodland,Queen Anne,3
West Woodland,Sanislo,3
West Woodland,Licton Springs K-8,2
West Woodland,Whittier,2
West Woodland,B.F. Day,1
West Woodland,Greenwood,1
West Woodland,Hazel Wolf K-8,1
West Woodland,Magnolia,1
West Woodland,Non Public Agencies,1
West Woodland,Priv/Paroch Sped,1
John Rogers,John Rogers,243
John Rogers,Cedar Park,79
John Rogers,Hazel Wolf K-8,53
John Rogers,Thornton Creek,45
John Rogers,Cascadia,15
John Rogers,Olympic Hills,14
John Rogers,McDonald Intl,10
John Rogers,Wedgwood,8
John Rogers,John Stanford Intl,7
John Rogers,Queen Anne,6
John Rogers,View Ridge,5
John Rogers,Laurelhurst,4
John Rogers,Sacajawea,4
John Rogers,Broadview-Thomson K-8,3
John Rogers,Decatur,3
John Rogers,Northgate,3
John Rogers,Olympic View,2
John Rogers,Sand Point,2
John Rogers,Daniel Bagley,1
John Rogers,Exp. Ed. Unit,1
John Rogers,Priv/Paroch Sped,1
John Rogers,Salmon Bay K-8,1
John Rogers,Whittier,1
Olympic Hills,Olympic Hills,412
Olympic Hills,Cedar Park,55
Olympic Hills,Hazel Wolf K-8,37
Olympic Hills,Cascadia,20
Olympic Hills,Queen Anne,9
Olympic Hills,Cascade Parent Partnership,5
Olympic Hills,John Rogers,5
Olympic Hills,Sacajawea,5
Olympic Hills,Thornton Creek,5
Olympic Hills,McDonald Intl,4
Olympic Hills,Broadview-Thomson K-8,3
Olympic Hills,John Stanford Intl,3
Olympic Hills,Laurelhurst,3
Olympic Hills,Green Lake,2
Olympic Hills,Northgate,2
Olympic Hills,TOPS K-8,2
Olympic Hills,B.F. Day,1
Olympic Hills,Daniel Bagley,1
Olympic Hills,Decatur,1
Olympic Hills,Licton Springs K-8,1
Olympic Hills,Loyal Heights,1
Olympic Hills,Olympic View,1
Sacajawea,Sacajawea,138
Sacajawea,Hazel Wolf K-8,114
Sacajawea,Thornton Creek,16
Sacajawea,McDonald Intl,15
Sacajawea,Cascadia,12
Sacajawea,Cedar Park,12
Sacajawea,Olympic View,10
Sacajawea,Queen Anne,8
Sacajawea,John Stanford Intl,6
Sacajawea,Olympic Hills,4
Sacajawea,John Rogers,3
Sacajawea,Salmon Bay K-8,3
Sacajawea,TOPS K-8,3
Sacajawea,View Ridge,3
Sacajawea,Wedgwood,3
Sacajawea,Cascade Parent Partnership,2
Sacajawea,Decatur,2
Sacajawea,Broadview-Thomson K-8,1
Sacajawea,Daniel Bagley,1
Sacajawea,Northgate,1
Alki,Alki,302
Alki,Fairmount Park,8
Alki,Lafayette,5
Alki,Pathfinder K-8,5
Alki,Dearborn Park Intl,3
Alki,STEM K-8,3
Alki,Genesee Hill,2
Alki,Queen Anne,2
Alki,Sanislo,2
Alki,Arbor Heights,1
Alki,Cascade Parent Partnership,1
Alki,Exp. Ed. Unit,1
Alki,Gatewood,1
Alki,TOPS K-8,1
Alki,West Seattle ES,1
Fairmount Park,Fairmount Park,348
Fairmount Park,Pathfinder K-8,44
Fairmount Park,STEM K-8,29
Fairmount Park,Genesee Hill,7
Fairmount Park,Queen Anne,6
Fairmount Park,Highland Park,5
Fairmount Park,Lafayette,4
Fairmount Park,Arbor Heights,3
Fairmount Park,Cascade Parent Partnership,3
Fairmount Park,Gatewood,3
Fairmount Park,Alki,2
Fairmount Park,West Seattle ES,2
Fairmount Park,In Tandem,1
Fairmount Park,Lowell,1
Fairmount Park,Madrona,1
Fairmount Park,Non Public Agencies,1
Fairmount Park,Salmon Bay K-8,1
Fairmount Park,Sanislo,1
Fairmount Park,South Shore PK-8,1
Gatewood,Gatewood,325
Gatewood,Pathfinder K-8,27
Gatewood,STEM K-8,15
Gatewood,Fairmount Park,14
Gatewood,Lafayette,7
Gatewood,Genesee Hill,5
Gatewood,Cascade Parent Partnership,3
Gatewood,Alki,2
Gatewood,Arbor Heights,2
Gatewood,Priv/Paroch Sped,2
Gatewood,Roxhill,2
Gatewood,Sanislo,2
Gatewood,West Seattle ES,2
Gatewood,Beacon Hill Intl,1
Gatewood,Concord Intl,1
Gatewood,Maple,1
Gatewood,Martin Luther King,1
Gatewood,McDonald Intl,1
Gatewood,Queen Anne,1
Genesee Hill,Genesee Hill,461
Genesee Hill,Pathfinder K-8,17
Genesee Hill,Fairmount Park,9
Genesee Hill,Queen Anne,6
Genesee Hill,Lafayette,5
Genesee Hill,STEM K-8,3
Genesee Hill,Gatewood,2
Genesee Hill,Alki,1
Genesee Hill,Arbor Heights,1
Genesee Hill,Cascade Parent Partnership,1
Genesee Hill,John Stanford Intl,1
Genesee Hill,Kimball,1
Lafayette,Lafayette,414
Lafayette,Pathfinder K-8,105
Lafayette,Genesee Hill,52
Lafayette,Fairmount Park,15
Lafayette,STEM K-8,8
Lafayette,Cascade Parent Partnership,5
Lafayette,Queen Anne,5
Lafayette,Thurgood Marshall,4
Lafayette,Concord Intl,3
Lafayette,Highland Park,2
Lafayette,West Seattle ES,2
Lafayette,Alki,1
Lafayette,John Stanford Intl,1
Lafayette,Leschi,1
Lafayette,Non Public Agencies,1
Lafayette,Priv/Paroch Sped,1
Catharine Blaine K-8,Catharine Blaine K-8,220
Catharine Blaine K-8,Cascadia,18
Catharine Blaine K-8,Lawton,7
Catharine Blaine K-8,Magnolia,7
Catharine Blaine K-8,John Stanford Intl,5
Catharine Blaine K-8,Queen Anne,3
